LB1D,LB1H,LB2D,LB2H,LB3D,LB3D,LB3P,LB4D,LB4H,LB4P,LB5D,LB5H,LB6D,LB6H,LB7D,LB7H,LB8D,LB8H,LB9D,LB9H,LB10D,LB10H,LB10P
,,,,,,,1,13,,,,,,,,,,,,,,
,,,,,,,1,20,,,,,,,,,,,,,,
,,,,,,,1,12,,,,,,,,,,,,,,
,,,,,,,1,9,,,,,,,,,,,,,,
,,,,,,,1,17,,,,,,,,,,,,,,
,,,,,,,1,11,,,,,,,,,,,,,,
,,,,,,,1,8,,,,,,,,,,,,,,
,,,,,,,1,14,,,,,,,,,,,,,,
,,,,,,,1,12,,,,,,,,,,,,,,
,,,,,,,1,18,,,,,,,,,,,,,,
,,,,,,,1,8,,,,,,,,,,,,,,
,,,,,,,2,17,,,,,,,,,,,,,,
,,,,,,,1,15,,,,,,,,,,,,,,
,,,,,,,1,10,,,,,,,,,,,,,,
,,,,,,,1,10,,,,,,,,,,,,,,
,,,,,,,1,11,,,,,,,,,,,,,,
,,,,,,,1,16,,,,,,,,,,,,,,
,,,,,,,1,14,,,,,,,,,,,,,,
,,,,,,,1,14,,,,,,,,,,,,,,
,,,,,,,1,12,,,,,,,,,,,,,,
,,,,,,,1,14,,,,,,,,,,,,,,
,,,,,,,2,20,,,,,,,,,,,,,,
,,,,,,,1,6,,,,,,,,,,,,,,
,,,,,,,2,12,,,,,,,,,,,,,,
,,,,,,,1,17,,,,,,,,,,,,,,
,,,,,,,1,12,,,,,,,,,,,,,,
,,,,,,,2,23,,,,,,,,,,,,,,
,,,,,,,2,21,,,,,,,,,,,,,,
,,,,,,,1,7,,,,,,,,,,,,,,
,,,,,,,1,12,,,,,,,,,,,,,,
,,,,,,,2,19,,,,,,,,,,,,,,
,,,,,,,1,21,,,,,,,,,,,,,,
,,,,,,,1,12,,,,,,,,,,,,,,
,,,,,,,1,8,,,,,,,,,,,,,,
,,,,,,,1,11,,,,,,,,,,,,,,
,,,,,,,1,14,,,,,,,,,,,,,,
,,,,,,,1,8,,,,,,,,,,,,,,
,,,,,,,1,11,,,,,,,,,,,,,,
,,,,,,,2,13,,,,,,,,,,,,,,
,,,,,,,1,15,,,,,,,,,,,,,,
,,,,,,,1,18,,,,,,,,,,,,,,
,,,,,,,1,18,,,,,,,,,,,,,,
,,,,,,,1,18,,,,,,,,,,,,,,
,,,,,,,12,145,14,,,,,,,,,,,,,
,,,,,,,8,118,,,,,,,,,,,,,,
,,,,,,,11,136,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,
,,,,,,,,,16,,,,,,,,,,,,,
,,,,,,,10,122,17,,,,,,,,,,,,,
,,,,,,,8,99,18,,,,,,,,,,,,,
,,,,,,,11,104,,,,,,,,,,,,,,
