DiameterCHD2022,HeightCHD.2023,DiameterCHD2023,HeightCHD2024
0.1,9,0.3,32
0.1,6,0.4,58
0.1,8,0.3,19
0.1,9,0.2,28
0.1,6,0.4,38
0.1,4,0.2,9
0.1,3,0.2,10
0.1,7,0.3,24
0.1,7,0.3,25
0.1,4,0.6,78
0.1,9,0.7,84
0.2,12,0.6,62
0.1,5,0.5,39
0.1,6,0.5,62
0.1,10,0.7,58
0.1,6,0.5,50
0.1,12,0.8,35
0.1,5,0.4,47
0.1,5,0.3,30
0.1,7,0.4,48
0.1,14,0.4,40
0.1,5,0.3,16
0.1,8,0.5,50
0.1,4,0.2,4
0.1,5,0.2,12
0.1,6,0.2,12
0.2,10,0.4,32
0.1,4,0.3,36
0.1,9,0.3,28
0.1,5,0.5,50
0.1,5,0.3,25
0.1,6,0.2,12
0.1,4,0.4,32
0.1,6,0.3,34
0.5,40,0.5,31
0.2,29,0.4,18
0.4,51,0.3,22
0.2,27,0.5,29
0.5,56,0.3,32
0.3,29,0.3,28
0.3,39,0.2,15
0.4,46,0.6,63
0.2,25,0.9,85
0.2,26,0.5,48
0.3,35,0.7,55
0.1,10,0.6,85
0.3,40,0.5,44
0.5,50,0.5,60
0.2,37,0.5,33
0.2,21,0.6,34
0.5,26,0.5,45
0.3,37,0.6,60
0.4,42,0.4,38
0.3,30,0.4,37
0.3,27,0.4,38
0.4,50,0.5,44
0.5,52,0.6,34
0.3,38,0.3,30
0.3,33,0.4,50
0.2,24,0.3,47
0.3,35,0.4,37
0.2,20,0.4,37
0.4,44,0.3,38
0.8,73,0.2,12
0.3,37,0.4,45
0.1,16,0.2,9
0.3,25,0.4,23
0.2,26,0.3,30
0.5,48,0.3,3
0.4,52,0.2,7
0.2,43,0.4,48
0.3,36,0.2,7
0.4,48,0.3,25
0.3,30,0.4,26
0.2,29,0.3,32
0.2,27,0.3,21
0.2,30,0.2,9
0.2,26,0.4,47
0.2,28,0.2,16
0.3,43,0.4,37
0.1,19,0.3,28
0.2,20,0.2,10
0.2,18,0.3,23
0.2,27,0.3,32
0.5,69,0.3,20
0.2,25,0.3,32
0.6,55,0.3,30
0.3,39,0.4,25
0.5,72,0.3,20
0.2,25,0.4,45
0.3,29,0.4,38
0.1,11,0.5,57
0.3,32,0.5,44
0.5,75,0.5,44
0.1,22,0.6,57
0.2,31,0.6,58
0.2,23,0.5,63
0.2,27,0.3,18
0.3,32,0.4,47
0.2,20,0.4,56
0.4,54,0.3,34
0.1,15,0.4,44
0.3,50,0.4,46
0.2,28,0.3,48
0.5,67,0.3,32
0.2,29,0.3,37
0.3,37,0.4,41
0.1,19,0.3,40
0.1,11,0.2,26
0.5,65,0.2,30
0.1,10,0.3,43
0.2,29,0.2,11
0.2,20,0.7,83
0.2,33,0.4,33
0.3,41,0.4,41
0.5,54,0.5,63
0.2,37,0.4,59
0.6,68,0.8,93
0.3,35,0.7,86
0.3,39,0.8,68
0.3,42,0.4,44
0.3,34,0.4,14
0.2,26,0.3,21
0.1,9,0.2,25
0.3,29,0.4,24
0.1,10,0.3,25
0.3,27,0.7,67
0.2,25,0.7,14
0.3,39,0.3,29
0.3,37,0.4,53
0.4,47,0.3,14
0.6,64,0.6,55
0.6,68,0.3,24
0.5,62,0.3,38
0.5,53,0.4,54
0.2,18,0.4,46
0.2,23,0.4,34
0.2,16,0.4,55
0.2,19,0.7,13
0.2,27,0.6,20
0.3,25,0.3,11
0.2,32,0.4,42
0.2,14,0.3,17
0.1,16,0.4,29
0.3,30,0.4,26
0.3,29,0.5,73
0.2,33,0.3,51
0.4,47,0.3,26
0.2,25,0.3,17
0.4,45,0.5,55
0.2,29,0.4,34
0.2,22,0.3,43
0.3,35,0.5,21
0.3,40,0.4,59
0.3,33,0.3,23
0.5,72,0.7,84
0.3,40,0.2,14
0.1,12,0.4,45
0.4,46,0.3,32
0.2,34,0.3,39
0.2,30,0.3,9
0.5,47,0.2,22
0.4,50,0.6,18
0.2,34,0.1,12
0.3,46,0.4,30
0.3,27,0.4,48
0.3,35,0.2,14
0.3,44,0.4,26
0.1,5,0.2,7
0.3,36,0.5,63
0.2,16,0.5,58
0.3,49,0.2,32
0.3,25,0.6,40
0.1,21,0.3,43
0.3,40,0.3,30
0.4,60,0.6,59
0.1,10,0.3,38
0.1,10,0.7,88
0.1,11,0.3,36
0.1,18,0.7,14
0.1,12,0.5,59
0.2,25,0.5,39
0.2,27,0.4,44
0.3,40,0.4,45
0.2,35,0.7,53
0.4,42,0.3,34
0.4,46,0.3,17
0.1,7,0.2,18
0.1,12,0.5,54
0.3,37,0.5,58
0.2,15,0.3,40
0.2,20,0.2,19
0.3,43,0.4,61
0.1,8,0.2,29
0.2,20,0.6,45
0.3,40,0.3,34
0.3,40,0.3,33
0.5,45,0.4,30
0.1,10,0.3,9
0.2,18,0.4,25
0.5,47,0.5,62
0.3,26,0.2,13
0.4,45,0.2,36
0.3,31,0.5,63
0.3,40,0.5,60
0.4,41,0.3,36
0.1,8,0.2,29
0.3,41,0.2,25
0.1,10,0.8,25
0.2,20,0.2,17
0.1,14,0.4,18
0.1,10,0.4,55
0.1,6,0.3,17
0.3,35,0.4,19
0.1,12,0.4,26
0.4,47,0.3,19
0.1,12,0.3,21
0.4,47,0.4,21
0.3,43,0.3,32
0.2,24,0.4,28
0.2,18,0.5,58
0.1,5,0.6,48
0.4,50,0.2,15
0.3,34,0.6,31
0.1,11,0.4,44
0.4,51,0.4,37
0.4,52,0.3,29
0.2,12,0.4,26
0.3,20,0.3,32
0.4,36,1.1,44
0.3,26,0.3,23
0.2,22,0.2,29
0.4,55,0.3,30
0.4,35,0.4,13
0.1,10,0.3,21
0.3,31,0.3,29
0.5,60,0.3,16
0.2,20,0.3,18
0.2,32,0.6,21
0.3,30,0.2,13
0.2,26,0.4,19
0.1,10,0.5,32
0.4,39,0.5,44
0.5,50,0.5,40
0.3,43,0.6,52
0.1,16,0.3,20
0.4,32,0.5,35
0.5,50,0.4,23
0.2,16,0.2,10
0.3,32,0.4,25
0.4,42,0.6,29
0.3,40,0.7,79
0.2,11,0.3,32
0.2,20,0.3,14
0.3,35,0.4,22
0.4,26,0.3,16
0.1,16,0.3,16
0.1,13,0.3,18
0.3,25,0.1,11
0.1,10,0.5,44
0.1,11,0.3,24
0.1,10,0.4,36
0.4,39,0.8,58
0.3,25,0.2,18
0.3,36,0.3,17
0.1,10,0.5,40
0.2,17,0.5,32
0.1,9,0.2,20
0.4,39,0.3,32
0.5,50,0.3,25
0.4,43,0.5,40
0.5,43,0.5,51
0.1,10,0.7,62
0.2,22,1,87
0.2,19,1,86
0.3,17,0.5,48
0.3,25,0.4,40
0.3,31,0.3,28
0.5,52,0.7,55
0.5,55,0.9,97
0.2,27,1.2,120
0.3,40,0.4,26
0.4,30,0.4,40
0.1,10,0.6,42
0.4,38,0.4,40
0.3,31,0.7,89
0.3,31,0.7,68
0.5,53,0.9,72
0.2,32,0.3,22
0.3,22,0.6,36
0.1,11,0.3,26
0.7,85,0.3,18
0.2,29,0.2,19
0.2,18,0.3,25
0.3,24,0.4,36
0.5,61,0.5,70
0.2,18,0.2,20
0.1,15,0.2,15
0.4,53,0.3,22
0.2,28,0.5,34
0.1,14,0.2,15
0.2,29,0.1,13
0.1,27,0.4,28
0.7,100,0.5,47
0.3,41,0.4,39
0.2,20,0.3,25
0.5,55,0.3,29
0.2,18,0.4,30
0.3,65,0.3,29
0.3,83,0.2,15
0.2,40,0.4,33
0.5,83,0.2,13
0.2,13,0.3,42
0.4,68,0.5,50
0.3,31,0.5,55
0.3,49,0.4,50
0.3,35,0.4,48
0.3,55,0.3,26
0.4,62,0.2,17
0.1,12,0.1,21
0.3,40,0.4,40
0.2,21,0.5,44
0.3,45,0.5,77
0.2,23,0.2,17
0.5,89,0.4,26
0.4,52,0.4,50
0.2,18,0.3,44
0.2,30,0.9,68
0.2,25,0.3,48
0.4,50,0.4,46
0.3,35,0.4,48
0.5,72,0.3,20
0.2,24,0.1,12
0.2,22,0.5,61
0.3,39,0.5,54
0.2,25,0.4,33
0.1,15,0.3,37
0.2,29,0.5,76
0.3,37,0.4,45
0.2,24,0.4,42
0.3,37,0.3,47
0.3,29,0.2,23
0.2,21,0.4,47
0.3,27,0.5,47
0.1,12,0.8,74
0.3,32,0.5,55
0.2,19,0.4,40
0.4,52,0.3,23
0.4,36,0.6,66
0.3,30,0.6,66
0.2,23,0.6,57
0.1,19,0.2,27
0.2,20,0.3,36
0.3,35,0.5,52
0,,0.5,64
0,,0.5,35
0,,0.4,32
0,,0.5,63
0,,0.5,58
0,,0.5,51
0,,0.4,43
0,,0.5,57
