LB1D,LB1H,LB2D,LB2H,LB3D,LB3D,LB3P,LB4D,LB4H,LB4P,LB5D,LB5H,LB6D,LB6H,LB7D,LB7H,LB8D,LB8H,LB9D,LB9H,LB10D,LB10H,LB10P
,,,,2,16,,7,85,,,,,,,,,,,,,,
,,,,1,9,,6,25,12,,,,,,,,,,,,,
,,,,3,27,,4,40,,,,,,,,,,,,,,
,,,,2,13,,3,37,,,,,,,,,,,,,,
,,,,1,10,,6,55,,,,,,,,,,,,,,
,,,,1,9,,3,43,,,,,,,,,,,,,,
,,,,1,6,,2,30,,,,,,,,,,,,,,
,,,,2,22,,3,53,13,,,,,,,,,,,,,
,,,,3,25,,2,30,14,,,,,,,,,,,,,
,,,,1,12,,2,11,,,,,,,,,,,,,,
,,,,3,21,,2,15,,,,,,,,,,,,,,
,,,,2,15,,2,21,,,,,,,,,,,,,,
,,,,3,23,13,2,18,15,,,,,,,,,,,,,
,,,,3,36,,2,15,,,,,,,,,,,,,,
,,,,2,11,14,2,10,,,,,,,,,,,,,,
,,,,3,22,,2,11,,,,,,,,,,,,,,
,,,,2,11,,,,,,,,,,,,,,,,,
,,,,2,21,,,,,,,,,,,,,,,,,
,,,,3,25,,,,,,,,,,,,,,,,,
,,,,2,19,,,,,,,,,,,,,,,,,
,,,,3,21,,,,,,,,,,,,,,,,,
,,,,3,34,,,,,,,,,,,,,,,,,
,,,,2,13,,,,,,,,,,,,,,,,,
,,,,2,11,,,,,,,,,,,,,,,,,
,,,,2,12,,,,,,,,,,,,,,,,,
,,,,3,42,,,,,,,,,,,,,,,,,
,,,,2,16,,,,,,,,,,,,,,,,,
,,,,1,12,,,,,,,,,,,,,,,,,
,,,,3,32,15,,,,,,,,,,,,,,,,
,,,,2,16,,,,,,,,,,,,,,,,,
,,,,2,12,,,,,,,,,,,,,,,,,
,,,,3,23,,,,,,,,,,,,,,,,,
,,,,1,10,,,,,,,,,,,,,,,,,
,,,,2,24,,,,,,,,,,,,,,,,,
,,,,2,17,,,,,,,,,,,,,,,,,
,,,,2,16,,,,,,,,,,,,,,,,,
,,,,1,10,,,,,,,,,,,,,,,,,
,,,,3,42,,,,,,,,,,,,,,,,,
,,,,3,37,16,,,,,,,,,,,,,,,,
,,,,2,20,,,,,,,,,,,,,,,,,
,,,,4,35,,,,,,,,,,,,,,,,,
,,,,3,35,,,,,,,,,,,,,,,,,
,,,,3,40,,,,,,,,,,,,,,,,,
,,,,3,35,17,,,,,,,,,,,,,,,,
,,,,4,59,,,,,,,,,,,,,,,,,
